Div,HomeTeam,year,win
F1,Nice,2017,11
F1,Bordeaux,2017,9
F1,Dijon,2017,9
F1,Rennes,2017,7
F1,St Etienne,2017,6
F1,Toulouse,2017,6
F1,Angers,2017,6
F1,Montpellier,2017,6
F1,Caen,2017,7
F1,Metz,2017,6
F1,Lille,2017,5
F1,Strasbourg,2017,4
F1,Troyes,2017,4
F1,Amiens,2017,4
F1,Lorient,2017,3
F1,Bastia,2017,2
F1,Nancy,2017,3
F1,Nice,2016,16
F1,Paris SG,2016,15
F1,Monaco,2016,15
F1,Lyon,2016,14
F1,Rennes,2016,11
F1,Lille,2016,10
F1,Guingamp,2016,9
F1,Toulouse,2016,10
F1,Caen,2016,9
F1,St Etienne,2016,8
F1,Bastia,2016,8
F1,Marseille,2016,7
F1,Montpellier,2016,9
F1,Bordeaux,2016,7
F1,Nantes,2016,7
F1,Lorient,2016,7
F1,Angers,2016,6
F1,Dijon,2016,4
F1,Nancy,2016,4
F1,Reims,2016,4
F1,Ajaccio GFCO,2016,2
F1,Metz,2016,2
F1,Troyes,2016,1
F1,Paris SG,2015,16
F1,St Etienne,2015,12
F1,Bordeaux,2015,11
F1,Bastia,2015,11
F1,Lille,2015,11
F1,Caen,2015,11
F1,Montpellier,2015,11
F1,Lyon,2015,9
F1,Monaco,2015,7
F1,Toulouse,2015,7
F1,Guingamp,2015,8
F1,Lorient,2015,7
F1,Marseille,2015,6
F1,Nice,2015,7
F1,Nantes,2015,6
F1,Rennes,2015,5
F1,Reims,2015,5
F1,Angers,2015,3
F1,Ajaccio GFCO,2015,3
F1,Evian Thonon Gaillard,2015,3
F1,Lens,2015,2
F1,Metz,2015,2
F1,Troyes,2015,0
F1,Marseille,2014,15
F1,Paris SG,2014,14
F1,St Etienne,2014,13
F1,Lyon,2014,14
F1,Bordeaux,2014,10
F1,Lille,2014,9
F1,Monaco,2014,9
F1,Reims,2014,9
F1,Montpellier,2014,8
F1,Nantes,2014,7
F1,Bastia,2014,7
F1,Evian Thonon Gaillard,2014,8
F1,Rennes,2014,7
F1,Nice,2014,7
F1,Lorient,2014,6
F1,Guingamp,2014,7
F1,Toulouse,2014,5
F1,Sochaux,2014,6
F1,Metz,2014,4
F1,Lens,2014,3
F1,Valenciennes,2014,3
F1,Ajaccio,2014,2
F1,Caen,2014,1
F1,Lille,2013,8
F1,Paris SG,2013,7
F1,Monaco,2013,7
F1,Bastia,2013,6
F1,Bordeaux,2013,6
F1,Nice,2013,6
F1,Lorient,2013,5
F1,Guingamp,2013,5
F1,St Etienne,2013,5
F1,Lyon,2013,3
F1,Nantes,2013,5
F1,Reims,2013,4
F1,Toulouse,2013,3
F1,Evian Thonon Gaillard,2013,3
F1,Marseille,2013,4
F1,Rennes,2013,3
F1,Montpellier,2013,2
F1,Sochaux,2013,2
F1,Ajaccio,2013,1
F1,Valenciennes,2013,1
E0,Liverpool,2020,5
E0,Arsenal,2020,4
E0,Chelsea,2020,3
E0,Man United,2020,3
E0,Sheffield United,2020,3
E0,Burnley,2020,2
E0,Everton,2020,2
E0,West Ham,2020,2
E0,Bournemouth,2020,2
E0,Crystal Palace,2020,2
E0,Leicester,2020,2
E0,Man City,2020,2
E0,Norwich,2020,2
E0,Watford,2020,2
E0,Southampton,2020,2
E0,Tottenham,2020,2
E0,Wolves,2020,1
E0,Newcastle,2020,1
E0,Aston Villa,2020,1
E0,Brighton,2020,0
E0,Liverpool,2019,18
E0,Man City,2019,16
E0,Tottenham,2019,12
E0,Leicester,2019,11
E0,Wolves,2019,10
E0,Arsenal,2019,10
E0,Chelsea,2019,10
E0,Man United,2019,9
E0,Newcastle,2019,10
E0,Everton,2019,10
E0,Burnley,2019,9
E0,Crystal Palace,2019,7
E0,West Ham,2019,7
E0,Southampton,2019,6
E0,Bournemouth,2019,5
E0,Watford,2019,5
E0,Brighton,2019,5
E0,Aston Villa,2019,4
E0,Sheffield United,2019,4
E0,Fulham,2019,3
E0,Norwich,2019,2
E0,Cardiff,2019,2
E0,Huddersfield,2019,1
E0,Man City,2018,16
E0,Liverpool,2018,15
E0,Arsenal,2018,14
E0,Man United,2018,13
E0,Tottenham,2018,13
E0,Brighton,2018,9
E0,Chelsea,2018,9
E0,Everton,2018,9
E0,Bournemouth,2018,9
E0,Watford,2018,9
E0,West Ham,2018,8
E0,Leicester,2018,7
E0,Newcastle,2018,7
E0,Crystal Palace,2018,6
E0,Burnley,2018,5
E0,Southampton,2018,2
E0,Wolves,2018,4
E0,Cardiff,2018,4
E0,Swansea,2018,4
